"cst","csts","des","al","kt","nik"
"00100002","0001",FREDY,"","",""
"00100002","0002",RENDY,"","",""
KT088,M0638,SMB,"",TULUNGAGUNG,""
KT088,M0557,NYOTO,"","",""
KT088,M0560,MASTUR,"","",""
"01A81 ",M0182 ,"555 BARU                      ",JL. SULTAN AGUNG 74                                         ,NGAWI          ,""
"01A81 ",R0141 ,"38                            ",                                                            ,MENADO         ,""
"01A81 ",X0094 ,"555                           ",                                                            ,RUTENG         ,""
"01A81 ",U0059 ,"58                            ",JL. MASJID RAYA 88 C                                        ,MAKASSAR       ,""
"01A81 ",R0155 ,A THAY                        ,                                                            ,MENADO         ,""
"01A81 ",W0150 ,A. RAHMAN                     ,                                                            ,BIMA           ,""
"01A81 ",M0853 ,AA                            ,JL. SIDODADI                                                ,SURABAYA       ,""
"01A81 ",W0104 ,AA                            ,                                                            ,CAKRA          ,""
"01A81 ",V0080 ,ABADI                         ,JL. BEDAHULU II/17                                          ,DENPASAR       ,""
"01A81 ",X0280 ,ABAS                          ,                                                            ,WAINGAPU       ,""
"01A81 ",X0219 ,ABC                           ,                                                            ,RUTENG         ,""
"01A81 ",M0078 ,ADA                           ,JL. RAYA 73                                                 ,KRAKSAAN       ,""
"01A81 ",W0083 ,ADI                           ,PERTOKOAN MANDALIKA BLOK C/21                               ,CAKRA          ,""
"01A81 ",R0172 ,AF                            ,                                                            ,MENADO         ,""
"01A81 ",Y0108 ,AFUK                          ,JL. RIJALI 22-23                                            ,AMBON          ,""
"01A81 ",M0018 ,AGOGO                         ,JL.ANJASMORO 11 A                                           ,PASURUAN       ,""
"01A81 ",X0107 ,AGUNG                         ,                                                            ,REO            ,""
"01A81 ",X0179 ,AGUNG                         ,JL. MOTANGRUA 10                                            ,RUTENG         ,""
"01A81 ",M0109 ,AGUNG PERKASA                 ,                                                            ,PASAR TURI     ,""
"01A81 ",M1453 ,AHMAD AWI                     ,                                                            ,SURABAYA       ,""
"01A81 ",P0065 ,AJ                            ,                                                            ,BANJARMASIN    ,""
"01A81 ",G0008 ,AKANG                         ,JL. R.POTONG HEWAN 3                                        ,MEDAN          ,""
"01A81 ",W0013 ,AKASNA                        ,KOMPLEK TERMINAL MANDALIKA                                  ,CAKRA          ,""
"01A81 ",M0005 ,AKUAN                         ,DALAM PS.LT.I BLOK M 177-179                                ,KRIAN          ,""
"01A81 ",V0115 ,ALASKA/ATLANTIC               ,                                                            ,SINGARAJA      ,""
"01A81 ",T0083 ,ALBAR                         ,                                                            ,BANGGAI        ,""
"01A81 ",U0141 ,ALFATIR                       ,                                                            ,MAKASSAR       ,""
"01A81 ",M0777 ,ALFIDA                        ,                                                            ,LUMAJANG       ,""
"01A81 ",W0137 ,ALUN JATAH                    ,PASAR BARU AM 3                                             ,TOBELO         ,""
"01A81 ",W0164 ,AM                            ,                                                            ,BIMA           ,""
"01A81 ",M0033 ,AMERTA                        ,JL. BRIGJEN KATAMSO 19                                      ,PROBOLINGGO    ,""
"01A81 ",P0014 ,AMG (KARYA MUDA)              ,JL. PASAR BARU 86                                           ,BANJARMASIN    ,""
"01A81 ",X0260 ,AMIN                          ,                                                            ,RUTENG         ,""
"01A81 ",Y0095 ,AMIN KARIN                    ,                                                            ,TUAL           ,""
"01A81 ",X0064 ,AMPERA                        ,                                                            ,RUTENG         ,""
"01A81 ",U0122 ,AMR                           ,                                                            ,BUOL           ,""
"01A81 ",Q0205 ,AN                            ,JL. A.YANI RT.44 No.134                                     ,BALIKPAPAN     ,""
"01A81 ",W0139 ,AN                            ,                                                            ,BIMA           ,""
"01A81 ",M0330 ,ANEKA                         ,                                                            ,MOJOSARI       ,""
"01A81 ",M1335 ,ANEKA BARU                    ,                                                            ,MOJOSARI       ,""
"01A81 ",X0283 ,ANEKA NIAGA                   ,                                                            ,KUPANG         ,""
"01A81 ",W0118 ,ANTON                         ,JL. AA GEDE NGURAH 120                                      ,CAKRA          ,""
"01A81 ",M0693 ,ANUGERAH                      ,PS.TURI BARU LT.I BLOK B 67-68                              ,PASAR TURI     ,""
"01A81 ",R0192 ,ANUGERAH                      ,JL. DOTOLOLONG LASUT 33                                     ,MENADO         ,""
"01A81 ",M1270 ,ANUGRAH                       ,                                                            ,KERTOSONO      ,""
"01A81 ",X0249 ,ANUGRAH                       ,                                                            ,BAJAWA         ,""
"01A81 ",M1071 ,ANUGRAH BARU                  ,                                                            ,SUMENEP        ,""
"01A81 ",M1192 ,ANUGRAH LODOYO                ,LETJEN WITARMIN KEDUNG BUNDER                               ,BLITAR         ,""
"01A81 ",U0094 ,ANUGRAH/MAKMUR                ,KH. WAHID HASYIM 258-260 GOWA                               ,MAKASSAR       ,""
"01A81 ",V0130 ,ANWAR                         ,JL. GUNUNG AGUNG 85                                         ,NEGARA         ,""
"01A81 ",M1031 ,ANYAR                         ,JL. RAYA 160                                                ,KESAMBEN       ,""
"01A81 ",S0005 ,APAT                          ,JL. DR.WAHIDIN 36                                           ,PALU           ,""
"01A81 ",M0077 ,APOLLO JAYA                   ,JL.RAYA KRAKSAAN 82 B                                       ,KRAKSAAN       ,""
"01A81 ",T0059 ,AR/RAHA                       ,                                                            ,BAU-BAU        ,""
"01A81 ",M1056 ,ARBAIYAH                      ,PASAR KEPPO                                                 ,PAMEKASAN      ,""
"01A81 ",Z0140 ,ARFA                          ,                                                            ,PAPUA          ,""
"01A81 ",M1819 ,ARI                           ,                                                            ,SURABAYA       ,""
"01A81 ",X0248 ,ARIF JAYA                     ,                                                            ,KUPANG         ,""
"01A81 ",M1479 ,ARIFIN                        ,                                                            ,SURABAYA       ,""
"01A81 ",V0126 ,ARISTA GROSIR                 ,                                                            ,DENPASAR       ,""
"01A81 ","01A81 ",ARJUNA                        ,JL. SONGOYUDAN 78                                           ,SURABAYA       ,""
"01A81 ",A8001 ,ARJUNA                        ,JL. MARGOMULYO                                              ,SURABAYA       ,""
"01A81 ",S0128 ,ARJUNA                        ,                                                            ,LUWUK          ,""
"01A81 ",Y0112 ,ARSEL                         ,                                                            ,AMBON          ,""
"01A81 ",M1500 ,ARTA                          ,                                                            ,BATU           ,""
"01A81 ",R0162 ,ARTA WIJAYA                   ,                                                            ,MENADO         ,""
"01A81 ",R0195 ,ARTA WIJAYA/AWAJN             ,JL.PANJAITAN NO.27                                          ,MENADO         ,""
"01A81 ",M0084 ,ARTOMORO/HASIL JAYA           ,JL. K.H.WAHID HASYIM 32                                     ,KEDIRI         ,""
"01A81 ",R0153 ,AS                            ,                                                            ,MENADO         ,""
"01A81 ",M0096 ,ASIA BARU                     ,JL. K.H.HASIM ASHARI 24                                     ,LAMONGAN       ,""
"01A81 ",P0080 ,ASIA JAYA                     ,JL. PASAR BARU 99 A                                         ,BANJARMASIN    ,""
"01A81 ",Y0143 ,ASLIYAH                       ,                                                            ,AMBON          ,""
"01A81 ",T0077 ,ASMIDAR                       ,                                                            ,BANGGAI        ,""
"01A81 ",M1826 ,ASNA                          ,                                                            ,SURABAYA       ,""
"01A81 ",Y0153 ,ASURA                         ,                                                            ,TUAL           ,""
"01A81 ",P0013 ,AT                            ,                                                            ,BANJARMASIN    ,""
"01A81 ",X0095 ,AT                            ,                                                            ,MAUMERE        ,""
"01A81 ",R0157 ,ATHAY                         ,                                                            ,BITUNG         ,""
"01A81 ",V0135 ,ATLANTIC                      ,                                                            ,SINGARAJA      ,""
"01A81 ",M0429 ,AWAM                          ,JL. RAYA 242                                                ,BABAT          ,""
"01A81 ",M1076 ,AYU                           ,JL. MULYOREJO UTARA 131                                     ,SURABAYA       ,""
"01A81 ",P0073 ,BA                            ,                                                            ,BANJARMASIN    ,""
"01A81 ",M1865 ,BADRUS SALAM                  ,                                                            ,SURABAYA       ,""
"01A81 ",M0820 ,BALOK                         ,                                                            ,PASURUAN       ,""
"01A81 ",M0562 ,BAPAK AHMAD                   ,JL. TUGU I/34                                               ,JOMBANG        ,""
"01A81 ",M1862 ,BAPAK DARUN                   ,                                                            ,SURABAYA       ,""
"01A81 ",M0917 ,BAPAK JOKO                    ,JL. IKAN KERAPU 5/26                                        ,SURABAYA       ,""
"01A81 ",M0037 ,BARES                         ,JL. GAJAH MADA 113-115                                      ,GENTENG        ,""
"01A81 ",M1032 ,BARES MAS                     ,JL. GAJAH MADA 80                                           ,GENTENG        ,""
"01A81 ",M1355 ,BARU                          ,JL. RAYA 109                                                ,BENCOLOK       ,""
"01A81 ",Y0007 ,BAS                           ,JL. DR.SIWABESSY 35                                         ,AMBON          ,""
"01A81 ",M0482 ,BASUKI                        ,                                                            ,BESUKI         ,""
"01A81 ",M0630 ,BASUKI                        ,JL. TERATAI 516                                             ,BESUKI         ,""
"01A81 ",Q0126 ,BENTENG JAYA                  ,                                                            ,SAMARINDA      ,""
"01A81 ",M0178 ,BERKAT JAYA                   ,                                                            ,PASAR TURI     ,""
"01A81 ",M0995 ,BERSAUDARA JAYA               ,JL. SUDIRMAN 147 SBR.PUCUNG                                 ,MALANG         ,""
"01A81 ",R0074 ,BIE                           ,JL. PANJAITAN 28                                            ,MENADO         ,""
"01A81 ",M0029 ,BIMA                          ,JL. K.H.WAHID HASYIM 139-140                                ,BONDOWOSO      ,""
"01A81 ",M0102 ,BIMA                          ,                                                            ,PASAR TURI     ,""
"01A81 ",R0147 ,BIMA JAYA                     ,JL. PANJAITAN 17                                            ,MENADO         ,""
"01A81 ",R0190 ,BINTANG ASIA                  ,JL. PANJAITAN 18                                            ,MENADO         ,""
"01A81 ",M1159 ,BINTANG ELECTRIC              ,PGS Lt.I BLOK E7 NO. 9-10                                   ,SURABAYA       ,""
"01A81 ",Q0278 ,BJR-KAR                       ,                                                            ,SAMARINDA      ,""
"01A81 ",M0091 ,BOROBUDUR                     ,JL. JENDRAL SUDIRMAN 111                                    ,BANYUWANGI     ,""
"01A81 ",M1491 ,BP. FADLI(TOKO BAROKAH)       ,JL. RAYA BLUMBUNGAN                                         ,PAMEKASAN      ,""
"01A81 ",M0972 ,BP. HADI/LAJU II              ,                                                            ,GRESIK         ,""
"01A81 ",M1846 ,BP. MATDOI                    ,                                                            ,SURABAYA       ,""
"01A81 ",M1849 ,BP. SURYA                     ,                                                            ,SURABAYA       ,""
"01A81 ",Q0203 ,BTL 838                       ,                                                            ,BALIKPAPAN     ,""
"01A81 ",M1557 ,BU IDA                        ,                                                            ,SURABAYA       ,""
"01A81 ",M0323 ,BU PUJI                       ,KIOS DALAM PASAR                                            ,SAMPANG        ,""
"01A81 ",M1772 ,BU SITA                       ,                                                            ,SURABAYA       ,""
"01A81 ",M1551 ,BU SURYANI                    ,JL.SIMOREJO SARI B Gg.IX NO.34                              ,SURABAYA       ,""
"01A81 ",M1044 ,BU TUTIK                      ,PS. PEGIRIAN Lt.2 BLOK G.25-26                              ,SURABAYA       ,""
"01A81 ",M1554 ,BU UM                         ,                                                            ,SURABAYA       ,""
"01A81 ",U0127 ,BUDI A88                      ,JL. YOS SUDARSO 300 A                                       ,MAKASAR        ,""
"01A81 ",M1049 ,BUDI/ALIONG/MULIA             ,JL. TAMBAK ARUM II/2 KRAMPUNG                               ,SURABAYA       ,""
"01A81 ",R0165 ,CAHAYA AGUNG/CUN              ,JL. PANJAITAN 4                                             ,MENADO         ,""
"01A81 ",R0191 ,CAHAYA AGUNG/CUN              ,                                                            ,MENADO         ,""
"01A81 ",W0095 ,CAHAYA INDAH                  ,JL. AA GEDE NGURAH 31                                       ,CAKRA          ,""
"01A81 ",M0903 ,CAHAYA MAS                    ,JL.LINGKARAN 47 BLIMBING INDAH                              ,GONDANGLEGI/MLG,""
"01A81 ",M1246 ,CAHAYA MAS ARAYA              ,PURI NIAGA F2                                               ,MALANG         ,""
"01A81 ",V0058 ,CAKRA                         ,                                                            ,TABANAN        ,""
"01A81 ",S0006 ,CBP                           ,JL. HJDG PAWINDU 12                                         ,PALU           ,""
"01A81 ",M0225 ,CENDANA MAKMUR                ,ITC MEGA GROSIR                                             ,SURABAYA       ,""
"01A81 ",M0019 ,CENTRAL                       ,                                                            ,PASURUAN       ,""
"01A81 ",M0208 ,CENTRAL                       ,                                                            ,TULUNGAGUNG    ,""
"01A81 ",M1040 ,CENTRO                        ,RAYA JEMURSARI 76 BLOK B/8-10                               ,SURABAYA       ,""
"01A81 ",U0064 ,CF                            ,JL. GATOT SUBROTO BARU 55                                   ,MAKASSAR       ,""
"01A81 ",W0155 ,CF                            ,                                                            ,CAKRA          ,""
"01A81 ",T0075 ,CFA                           ,                                                            ,BAU-BAU        ,""
"01A81 ",W0040 ,CHD                           ,                                                            ,CAKRA          ,""
"01A81 ",X0360 ,CHELSEA                       ,                                                            ,LABUAN BAJO    ,""
"01A81 ",X0191 ,CHF                           ,                                                            ,TIMUR KUPANG   ,""
"01A81 ",M0321 ,CITRA BUSANA                  ,                                                            ,BONDOWOSO      ,""
"01A81 ",W0074 ,CITRA PLASTIK                 ,                                                            ,CAKRA          ,""
"01A81 ",M0237 ,CV. 88                        ,KOMPLEK P/GUDANGAN M/MULYO                                  ,SURABAYA       ,""
"01A81 ",W0154 ,CV. 99                        ,JL.SANDUBAYA BLOK B NO. 9                                   ,CAKRA          ,""
"01A81 ",R0160 ,CV. GEMBIRA GROSIR/MLA        ,JL. JENDRAL SUPRAPTO 127                                    ,GORONTALO      ,""
"01A81 ",O0042 ,CV. HOKKY OMEGA               ,JL. ISKANDAR NO. 6                                          ,SAMPIT         ,""
"01A81 ",M1442 ,CV. MEGAH                     ,JL.MARGOMULYO PERMAI BLOK L-11                              ,SURABAYA       ,""
"01A81 ",U0116 ,CV. REZEKI MAKMUR/HOKIKU      ,JL. YOS SUDARSO 227                                         ,MAKASSAR       ,""
"01A81 ",M1680 ,CV. TRIJAYA                   ,                                                            ,MALANG         ,""
"01A81 ",M0086 ,CV.JAWA TIMUR RAYA            ,JL.PANGLIMA SUDIRMAN 216                                    ,LUMAJANG       ,""
"01A81 ",M1004 ,DAMAI                         ,JL. ACHMAD YANI 65                                          ,KEPANJEN MALANG,""
"01A81 ",M1310 ,DAPUR INDO                    ,JL.DUPAK GROSIR AG NO.33-36                                 ,SURABAYA       ,""
"01A81 ",M1751 ,DAPUR JAYA                    ,                                                            ,PASAR TURI     ,""
"01A81 ",M0884 ,DAVID                         ,JL. SIMO JAWAR 78 D                                         ,SURABAYA       ,""
"01A81 ",P0081 ,DAVID MULIA                   ,JL. DAHLIA RAYA 38 RT.14                                    ,BANJARMASIN    ,""
"01A81 ",M0026 ,DEWA MAS                      ,JL. RE MARTA DINATA 46                                      ,JOMBANG        ,""
"01A81 ",W0121 ,DEWATA ELEKTRIK               ,                                                            ,CAKRA          ,""
"01A81 ",M1359 ,DEWI (DIEN)                   ,PASAR ANOM BARU                                             ,SUMENEP        ,""
"01A81 ",M0032 ,DIANA                         ,JL.JAWA 5 A                                                 ,SITUBONDO      ,""
"01A81 ",V0009 ,DJES                          ,STAND PASAR BADUNG LT.I/I                                   ,DENPASAR       ,""
"01A81 ",Y0115 ,DKL                           ,                                                            ,NAMLEA         ,""
"01A81 ",U0063 ,DM                            ,JL. KALIMANTAN 15                                           ,MAKASSAR       ,""
"01A81 ",W0135 ,DSMA                          ,                                                            ,CAKRA          ,""
"01A81 ",X0099 ,DTL                           ,                                                            ,TIMUR KUPANG   ,""
"01A81 ",M1083 ,DUA JAYA                      ,RUKO GRAHA NIAGA CITRA 13                                   ,KRIAN          ,""
"01A81 ",V0101 ,DUTA                          ,                                                            ,DENPASAR       ,""
"01A81 ",V0051 ,DUTA NIAGA                    ,                                                            ,DENPASAR       ,""
"01A81 ",X0234 ,ELIM                          ,                                                            ,MAUMERE        ,""
"01A81 ",X0295 ,ELIN                          ,                                                            ,MAUMERE        ,""
"01A81 ",X0371 ,ELLA                          ,                                                            ,MAUMERE        ,""
"01A81 ",V0096 ,ENERGI                        ,JL. NUSA KAMBANGAN 45                                       ,DENPASAR       ,""
"01A81 ",M1833 ,ERNA                          ,                                                            ,MADURA         ,""
"01A81 ",M1773 ,FAIDOH                        ,                                                            ,SURABAYA       ,""
"01A81 ",M1787 ,FAIS                          ,                                                            ,SURABAYA       ,""
"01A81 ",W0003 ,FAJAR TIMUR                   ,JL. AA GEDE NGURAH 29                                       ,CAKRA          ,""
"01A81 ",K0269 ,FAMILY                        ,                                                            ,TEGAL          ,""
"01A81 ",M1683 ,FARID                         ,                                                            ,SURABAYA       ,""
"01A81 ",M1350 ,FINA                          ,                                                            ,SURABAYA       ,""
"01A81 ",W0091 ,FTR                           ,                                                            ,CAKRA          ,""
"01A81 ",F0058 ,GAJAH MAS                     ,                                                            ,SUMBAWA        ,""
"01A81 ",M0088 ,GARUDA SAKTI                  ,JL. PB SUDIRMAN 83                                          ,BONDOWOSO      ,""
"01A81 ",Y0109 ,GILANG                        ,                                                            ,TUAL           ,""
"01A81 ",Q0035 ,GJ (GELORA JAYA)              ,PANGERAN DIPONEGORO RT.19/54                                ,SAMARINDA      ,""
"01A81 ",F0004 ,GKH                           ,JL. DIPONEGORO 77                                           ,SUMBAWA        ,""
"01A81 ",Q0214 ,GLORA JAYA                    ,PANGERAN DIPONEGORO RT.19/54                                ,SAMARINDA      ,""
"01A81 ",R0178 ,GLORIA                        ,                                                            ,MENADO         ,""
"01A81 ",M1208 ,GONI                          ,KIOS DALAM PASAR                                            ,SAMPANG        ,""
"01A81 ",M1571 ,GONI                          ,                                                            ,SUMENEP        ,""
"01A81 ",M0101 ,GUNUNG                        ,PS.TURI BARU Lt.LG BLOK B4NO.8                              ,PASAR TURI     ,""
"01A81 ",V0008 ,GUNUNG MAS                    ,JL. SULAWESI 65                                             ,DENPASAR       ,""
"01A81 ",U0020 ,GWJ                           ,                                                            ,MAKASSAR       ,""
"01A81 ",M1583 ,H. HASNAH                     ,                                                            ,SURABAYA       ,""
"01A81 ",P0088 ,H. HERMANTO/JAMBRAN           ,                                                            ,BANJARMASIN    ,""
"01A81 ",M1163 ,H. IMRON                      ,DALAM PASAR                                                 ,NGOPAK         ,""
"01A81 ",M1550 ,H. ISMAIL                     ,                                                            ,SURABAYA       ,""
"01A81 ",M1781 ,H. KARIM                      ,                                                            ,BOJONEGORO     ,""
"01A81 ",M1598 ,H. KIEP                       ,                                                            ,SURABAYA       ,""
"01A81 ",M1558 ,H. KOHAR                      ,                                                            ,BANGKALAN      ,""
"01A81 ",M1591 ,H. KOHAR                      ,                                                            ,SURABAYA       ,""
"01A81 ",M1555 ,H. KULSUM                     ,                                                            ,BANGKALAN      ,""
"01A81 ",T0040 ,H. LASITA                     ,                                                            ,BAU-BAU        ,""
"01A81 ",M1600 ,H. MALIK                      ,                                                            ,SURABAYA       ,""
"01A81 ",M1599 ,H. MARZUKI                    ,                                                            ,SURABAYA       ,""
"01A81 ",M1562 ,H. MASNAH                     ,                                                            ,SURABAYA       ,""
"01A81 ",M1597 ,H. MUG                        ,                                                            ,SURABAYA       ,""
"01A81 ",P0087 ,H. MUKLIS                     ,                                                            ,BANJARMASIN    ,""
"01A81 ",M1365 ,H. MUNIF (TOKO BIN DAUD)      ,DEPAN POM BENSIN KETAPANG                                   ,BANYUWANGI     ,""
"01A81 ",M1422 ,H. NUR                        ,                                                            ,MADURA         ,""
"01A81 ",M1478 ,H. NUR                        ,                                                            ,SURABAYA       ,""
"01A81 ",M1592 ,H. RASULI                     ,                                                            ,SURABAYA       ,""
"01A81 ",M1820 ,H. ROH                        ,                                                            ,SURABAYA       ,""
"01A81 ",M1708 ,H. SAIMIN                     ,                                                            ,SUMENEP        ,""
"01A81 ",M1595 ,H. SUHAN                      ,                                                            ,SURABAYA       ,""
"01A81 ",M0457 ,H. WIDJI                      ,JL. RAJAWALI 534 SUMBERJO                                   ,BOJONEGORO     ,""
"01A81 ",M1547 ,H. YASID                      ,                                                            ,SURABAYA       ,""
"01A81 ",M0234 ,H.SYAMSU                      ,                                                            ,BANGKALAN      ,""
"01A81 ",M0580 ,HADY                          ,PASAR TURI BARU Lt.I BLOK F-66                              ,PASAR TURI     ,""
"01A81 ",Y0106 ,HAJI UDIN                     ,                                                            ,TERNATE        ,""
"01A81 ",M1594 ,HAMIDAH                       ,                                                            ,MADURA         ,""
"01A81 ",M0053 ,HANDAYANI                     ,JL. PANGLIMA SUDIRMAN 53                                    ,MADIUN         ,""
"01A81 ",M1798 ,HANIFA                        ,                                                            ,SURABAYA       ,""
"01A81 ",Q0207 ,HARI                          ,                                                            ,BALIKPAPAN     ,""
"01A81 ",K0129 ,HARJO                         ,                                                            ,YOGYAKARTA     ,""
"01A81 ",Z0061 ,HBT                           ,                                                            ,MANUKWARI      ,""
"01A81 ",M0332 ,HD                            ,JL. PASAR BARU 121-122                                      ,PANDAAN        ,""
"01A81 ",S0087 ,HD                            ,                                                            ,LUWUK          ,""
"01A81 ",V0086 ,HEDI                          ,JL. KENYERI 9X                                              ,KLUNGKUNG      ,""
"01A81 ",M1404 ,HERMAN                        ,JL. PALEM PONDOK CANDRA                                     ,SIDOARJO       ,""
"01A81 ",V0055 ,HERMAN                        ,JL. GUNUNG AGUNG Gg.IC/9                                    ,DENPASAR       ,""
"01A81 ",X0227 ,HETI                          ,                                                            ,ATAPUPU        ,""
"01A81 ",Q0191 ,HF-88                         ,JL. NIAGA SELATAN 48                                        ,SAMARINDA      ,""
"01A81 ",P0028 ,HG                            ,JL. BUMI MAS MAKMUR RT VII/30A                              ,BANJARMASIN    ,""
"01A81 ",P0053 ,HGL                           ,JL. NIAGA TIMUR 40                                          ,BANJARMASIN    ,""
"01A81 ",M0040 ,HGT                           ,JL. PREJENGAN II/30                                         ,ROGOJAMPI      ,""
"01A81 ",U0137 ,HI                            ,JL.IR.SUTAMI PERG.PARANG LOE                                ,MAKASAR        ,""
"01A81 ",U0090 ,HIMALAYA                      ,JL. UJUNG 15 A                                              ,MAKASSAR       ,""
"01A81 ",M1549 ,HJ. RUBI'AH                   ,                                                            ,SURABAYA       ,""
"01A81 ",M1815 ,HJ. SARBINI                   ,                                                            ,SURABAYA       ,""
"01A81 ",M1589 ,HJ. ZUBAIDAH                  ,                                                            ,SURABAYA       ,""
"01A81 ",U0068 ,HL                            ,                                                            ,UJUNG PANDANG  ,""
"01A81 ",U0079 ,HL                            ,                                                            ,MAKASSAR       ,""
"01A81 ",M1839 ,HL BIMBO                      ,                                                            ,SURABAYA       ,""
"01A81 ",M0020 ,HORIZON                       ,JL. NUSANTARA 33 B                                          ,PASURUAN       ,""
"01A81 ",V0152 ,HS                            ,                                                            ,DENPASAR       ,""
"01A81 ",X0232 ,HSL                           ,                                                            ,ENDE           ,""
"01A81 ",M1851 ,HUZAIMA                       ,                                                            ,SURABAYA       ,""
"01A81 ",X0237 ,HY                            ,JL. RAYA CENTIS 8                                           ,MAUMERE        ,""
"01A81 ",M1843 ,IBU EKA                       ,                                                            ,SURABAYA       ,""
"01A81 ",M1830 ,IBU FARIAH                    ,                                                            ,SURABAYA       ,""
"01A81 ",M1813 ,IBU FARIDA                    ,                                                            ,SURABAYA       ,""
"01A81 ",M1817 ,IBU JAINAB                    ,                                                            ,SURABAYA       ,""
"01A81 ",M1461 ,IBU NUR                       ,                                                            ,SURABAYA       ,""
"01A81 ",M1788 ,IBU RUM                       ,                                                            ,SURABAYA       ,""
"01A81 ",M1859 ,IBU SUMIATI                   ,                                                            ,SURABAYA       ,""
"01A81 ",M1805 ,IBU YANA                      ,                                                            ,SURABAYA       ,""
"01A81 ",K0277 ,IDE                           ,                                                            ,BLORA          ,""
"01A81 ",M1028 ,IGS                           ,JL. NGAGEL TAMA TENGAH 3/3                                  ,SURABAYA       ,""
"01A81 ",X0214 ,IGS                           ,JL. MERDEKA 21                                              ,ATAPUPU        ,""
"01A81 ",M0220 ,IKA JAYA                      ,                                                            ,MALANG         ,""
"01A81 ",M1333 ,IKA JAYA                      ,JL. BUTON NO. 3                                             ,MALANG         ,""
"01A81 ",M0252 ,INDAH BAKTI                   ,JL. SIDONIPAH 4                                             ,SURABAYA       ,""
"01A81 ",U0084 ,INI/KKK                       ,JL. TYARIF MANSYUR 87                                       ,BUOL           ,""
"01A81 ",W0101 ,IRAL                          ,                                                            ,DOMPU          ,""
"01A81 ",W0045 ,IS                            ,                                                            ,BIMA           ,""
"01A81 ",X0268 ,ISHAK                         ,                                                            ,MAUMERE        ,""
"01A81 ",M0854 ,JA                            ,MARGOMULYO PERMAI U2                                        ,SURABAYA       ,""
"01A81 ",M1204 ,JADI HASIL                    ,JL. GAJAH MADA 120                                          ,SIDOARJO       ,""
"01A81 ",M0214 ,JAKARTA                       ,JL. JAWA 4 A                                                ,SITUBONDO      ,""
"01A81 ",M1718 ,JAMALUDIN                     ,                                                            ,SUMENEP        ,""
"01A81 ",M0297 ,JATI                          ,JL. PEGIRIAN                                                ,SURABAYA       ,""
"01A81 ",M0317 ,JAWA TIMUR                    ,JL. PANGLIMA SUDIRMAN 92                                    ,KEDIRI         ,""
"01A81 ",M0731 ,JAWA TIMUR                    ,JL. A.YANI 98 PUGER                                         ,JEMBER         ,""
"01A81 ",M0034 ,JAYA                          ,JL. MUNCAR 17                                               ,SRONO          ,""
"01A81 ",M0064 ,JAYA                          ,JL. MERDEKA 149                                             ,BLITAR         ,""
"01A81 ",M0120 ,JAYA                          ,PASAR TURI LT.I BLOK H-45                                   ,PASAR TURI     ,""
"01A81 ",P0082 ,JAYA ABADI (SGJA)             ,JL. BRIGJEN KATAMSO 26                                      ,BANJARMASIN    ,""
"01A81 ",K0006 ,JAYA AGUNG                    ,JL. YOS SUDARSO 79                                          ,SOLO           ,""
"01A81 ",X0241 ,JAYA AGUNG/CHF                ,JL. SILIWANGI 18                                            ,TIMUR KUPANG   ,""
"01A81 ",M0166 ,JAYA INDAH                    ,JL. TEUKU UMAR 52                                           ,BONDOWOSO      ,""
"01A81 ",F0029 ,JAYA MAKMUR                   ,JL. PAHLAWAN ALAS-NTB                                       ,ALAS-SUMBAWA   ,""
"01A81 ",F0036 ,JAYA MAKMUR                   ,                                                            ,SUMBAWA        ,""
"01A81 ",M0165 ,JAYA MAKMUR                   ,PGS LT.I BLOK F-6 No.9-11                                   ,PASAR TURI     ,""
"01A81 ",M0744 ,JAYA MAKMUR                   ,JL. SEPUDI 33-34 PS.MIMBAAN BR                              ,SITUBONDO      ,""
"01A81 ",Q0085 ,JAYA MULYA/SH                 ,JL. IMAM BONJOL 38                                          ,SAMARINDA      ,""
"01A81 ",M0022 ,JAYA RAYA                     ,JL. SUSUITUBUN 15                                           ,BANYUWANGI     ,""
"01A81 ",V0088 ,JEROMIANE                     ,JL. PASAR BADUNG LT.II/7                                    ,DENPASAR       ,""
"01A81 ",X0261 ,JSM                           ,                                                            ,BAJAWA         ,""
"01A81 ",M1440 ,JUMARI                        ,                                                            ,KENCONG        ,""
"01A81 ",M1783 ,JUNAIDI                       ,                                                            ,SURABAYA       ,""
"01A81 ",W0001 ,KA                            ,JL. AA GEDE NGURAH                                          ,CAKRA          ,""
"01A81 ",M1657 ,KALIANGET                     ,                                                            ,SUMENEP        ,""
"01A81 ",M1782 ,KALIMAS                       ,                                                            ,SURABAYA       ,""
"01A81 ",M0175 ,KAMI MAJU                     ,                                                            ,PASAR TURI     ,""
"01A81 ",Y0105 ,KARNADIN                      ,                                                            ,AMBON          ,""
"01A81 ",R0062 ,KARYA BARU                    ,JL. NUSANTARA 126                                           ,MENADO         ,""
"01A81 ",P0084 ,KARYA MAKMUR (NIP)            ,JL. BRIGJEN KATAMSO 77                                      ,BANJARMASIN    ,""
"01A81 ",M0471 ,KARYA UTAMA                   ,JL. KALIANAK 75                                             ,SURABAYA       ,""
"01A81 ",M0954 ,KASIH                         ,JL. MANUKAN LOR IF-1                                        ,SURABAYA       ,""
"01A81 ",U0106 ,KAWAN SETIA (GWJ)             ,JL. TIMOR 50                                                ,MAKASSAR       ,""
