"cst","csts","des","al","kt","nik"
"01A81 ",M1385 ,UD. PUTRA BANGSA              ,JL. LETJEN SUPRAPTO 213                                     ,NGANJUK        ,""
"01A81 ",X0204 ,UDH/HARAPAN                   ,JL. IR.SOEKARNO 21                                          ,TIMUR KUPANG   ,""
"01A81 ",T0020 ,UDM                           ,JL. MONGINSIDI 16                                           ,BAU-BAU        ,""
"01A81 ",X0060 ,UDSL                          ,                                                            ,TIMUR KUPANG   ,""
"01A81 ",X0240 ,UDSL/GSP                      ,JL. IKAN PAUS 5                                             ,TIMUR KUPANG   ,""
"01A81 ",T0037 ,ULAN                          ,KOMPLEK PASAR SENTRAL LAMA                                  ,BAU-BAU        ,""
"01A81 ",W0014 ,ULANGI                        ,DALAM PASAR                                                 ,CAKRA          ,""
"01A81 ",P0036 ,UN/DA                         ,JL. BELITUNG 141                                            ,BANJARMASIN    ,""
"01A81 ",M1029 ,UNTUNG BERSAMA                ,JL. DR.WAHIDIN SH 6B                                        ,PASURUAN       ,""
"01A81 ",R0134 ,VILI/NS                       ,JL. PANJAITAN 103                                           ,MENADO         ,""
"01A81 ",F0066 ,VIVA BLASENG                  ,TANAH KK KALENO WANO TAMBOLAKA                              ,SUMBAWA        ,""
"01A81 ",P0090 ,WAHYU                         ,                                                            ,BANJARMASIN    ,""
"01A81 ",M0373 ,WARINGIN INDAH                ,                                                            ,TULUNGAGUNG    ,""
"01A81 ",M1025 ,WIJAYA                        ,JL. PASAR TAMAN C/5-6                                       ,SEPANJANG      ,""
"01A81 ",R0180 ,WIJAYA FAJAR/WIJAYA           ,                                                            ,MENADO         ,""
"01A81 ",Y0117 ,YAN                           ,                                                            ,AMBON          ,""
"01A81 ",Q0221 ,YANI                          ,JL. JENDRAL SUDIRMAN                                        ,SAMARINDA      ,""
"01A81 ",U0077 ,YAURI PIETER                  ,JL. PENGAYOMAN D7                                           ,MAKASSAR       ,""
"01A81 ",T0058 ,YAYANG                        ,                                                            ,BANGGAI        ,""
"01A81 ",Q0267 ,YELLOW MART                   ,                                                            ,SAMARINDA      ,""
"01A81 ",M0918 ,YOYOK (MELISSA CROSS)         ,PASAR TAMBAH REJO BLOK H No.3                               ,SURABAYA       ,""
"01A81 ",Y0017 ,YTR                           ,                                                            ,AMBON          ,""
"01A81 ",W0077 ,YUDI                          ,TERMINAL MANDALIKA K-34                                     ,CAKRA          ,""
"01A81 ",Z0137 ,ZRT                           ,                                                            ,SORONG         ,""
KT088 ,Y0053 ,"333/BT/REI/SUSANA             ",                                                            ,AMBON          ,""
KT088 ,M0456 ,ABIMANYU                      ,JAGIR WONOKROMO Gg. MASJID 9A                               ,SURABAYA       ,""
KT088 ,K0426 ,AFANDI S.                     ,                                                            ,JOGJA          ,""
KT088 ,K0018 ,AFFANDI SURYANTO              ,                                                            ,SOLO           ,""
KT088 ,M1108 ,AGUNG JAYA                    ,JL. PUCANG ANOM                                             ,SURABAYA       ,""
KT088 ,M0109 ,AGUNG PERKASA                 ,                                                            ,PASAR TURI     ,""
KT088 ,K0302 ,AGUNG REJEKI                  ,PEDAN                                                       ,KLATEN         ,""
KT088 ,K0022 ,AGUNG/SLAMET/CV.FORTUNA       ,                                                            ,JOGJA          ,""
KT088 ,M1831 ,AIS JAYA MAKMUR               ,PRM.BOGORAMI INDAH REGENCY C30                              ,SURABAYA       ,""
KT088 ,W0013 ,AKASNA                        ,                                                            ,CAKRA          ,""
KT088 ,M0814 ,ALFA                          ,                                                            ,LAMONGAN       ,""
KT088 ,P0014 ,AMG (KARYA MUDA)              ,                                                            ,BANJARMASIN    ,""
KT088 ,Q0205 ,AN                            ,JL. A. YANI RT. 44 NO. 134                                  ,BALIKPAPAN     ,""
KT088 ,M1832 ,ANANTA                        ,JL. KUTAI 58                                                ,MADIUN         ,""
KT088 ,M1071 ,ANUGRAH BARU                  ,PASAR ANOM                                                  ,SUMENEP        ,""
KT088 ,S0005 ,APAT/FEBDY LIWANG             ,JL. DR. WAHIDIN 36                                          ,PALU           ,""
KT088 ,M1299 ,ARIEF/RAJAWALI                ,JL. TENGGILIS TIMUR II NO. 56                               ,SURABAYA       ,""
KT088 ,P0013 ,AT                            ,                                                            ,BANJARMASIN    ,""
KT088 ,P0023 ,AT                            ,                                                            ,BANJARMASIN    ,""
KT088 ,X0095 ,AT                            ,                                                            ,MAUMERE        ,""
KT088 ,F0035 ,AWK                           ,JL. Dr. CIPTO NO. 79                                        ,SUMBAWA        ,""
KT088 ,P0073 ,BALI ABADI                    ,                                                            ,BANJARMASIN    ,""
KT088 ,M0972 ,BAPAK HADI/LAJU II            ,JL. H. HASYIM ASARI 4-8                                     ,GRESIK         ,""
KT088 ,K0011 ,BARU                          ,                                                            ,SOLO           ,""
